ID,C14_age,cal_BP,error,reservoir,depth,thickness,RCode,Note
5867,130,,30,,20.0,1.0,C4,Llano grande 2
5868,770,,40,,51.5,1.5,C5,Llano grande 5
5869,1280,,30,,59.5,1.5,C6,Llano grande 2
5870,1600,,30,,78.0,2.0,C7,Llano grande 2
5871,2370,,35,,96.0,2.0,C8,Llano grande 2
5872,3330,,40,,141.0,2.0,C9,Llano grande 5
5873,3340,,35,,143.5,4.5,C10,Llano grande 2
5874,3630,,35,,176.5,1.5,C11,Llano grande 2
5875,4030,,35,,212.5,1.5,C12,Llano grande 2
5876,4120,,40,,229.0,1.0,C13,Llano grande 2
5877,3890,,40,,231.5,1.5,C14,Llano grande 5
5878,3910,,40,,301.5,1.5,C14,Llano grande 5
5879,5230,,40,,381.5,1.5,C14,Llano grande 5
5880,6170,,50,,461.5,1.5,C14,Llano grande 5
5881,6830,,50,,541.5,1.5,C14,Llano grande 5
5882,7730,,50,,621.5,1.5,C14,Llano grande 5
5883,8280,,50,,701.5,1.5,C14,Llano grande 5
5884,8910,,50,,753.0,1.0,C14,Llano grande 5
5885,10080,,50,,867.0,1.0,C14,Llano grande 5
5886,10150,,50,,873.0,1.0,C14,Llano grande 5
5887,10280,,60,,875.0,1.0,C14,Llano grande 3
5888,11740,,70,,975.0,1.0,C14,Llano grande 3
5889,11980,,70,,995.0,1.0,C14,Llano grande 3
5890,11120,,60,,1047.0,1.0,C14,Llano grande 5
5891,11950,,100,,1132.0,2.0,C14,Llano grande 8
5892,13850,,70,,1195.5,1.5,C14,Llano grande 5
5893,13590,,90,,1213.0,1.0,C14,Llano grande 4
5894,14210,,90,,1238.0,1.0,C14,Llano grande 4
5895,13940,,70,,1241.5,1.5,C14,Llano grande 8
5896,14170,,70,,1270.0,4.0,C14,Llano grande 8
