DEPTH (CM),DEPTH (CM),UPPER DEPTH,LOWER DEPTH
28,,,
33,,,
38,,,
43,,,
48,,,
53,,,
58,,,
63,,,
68,,,
73,,,
78,,,
83,,,
88,,,
93,,,
98,,,
103,,,
108,,,
113,,,
118,,,
123,,,
128,,,
133,,,
138,,,
143,,,
148,,,
153,,,
158,,,
163,,,
168,,,
173,,,
178,,,
183,,,
188,,,
193,,,
198,,,
203,,,
208,,,
213,,,
218,,,
223,,,
228,,,
233,,,
238,,,
243,,,
248,,,
253,,,
258,4600,260,272
263,,,
268,,,
273,,,
278,,,
283,,,
288,,,
293,,,
298,,,
303,,,
308,,,
313,,,
318,,,
323,,,
328,,,
333,,,
338,,,
343,,,
348,,,
373,,,
378,,,
383,,,
388,,,
393,,,
398,,,
403,,,
408,,,
413,,,
418,,,
423,,,
428,,,
433,,,
438,,,
443,,,
448,,,
453,,,
458,,,
463,,,
468,,,
473,,,
478,,,
483,,,
488,,,
493,,,
498,,,
503,,,
508,,,
513,,,
518,,,
523,,,
528,,,
533,,,
538,,,
543,12880,545,555
548,,,
553,,,
558,,,
563,,,
568,,,
573,,,
578,,,
583,,,
588,,,
593,,,
598,,,
603,,,
608,,,
613,,,
618,,,
623,,,
628,,,
633,,,
638,15190,635,644
643,,,
